Symbol,Dzieñ,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2644.N,D,19990901,98.92,98.92,98.92,98.92,0,0
2644.N,D,19990902,98.54,98.54,98.54,98.54,0,0
2644.N,D,19990903,98.91,98.91,98.91,98.91,0,0
2644.N,D,19990906,98.09,98.09,98.09,98.09,0,0
2644.N,D,19990907,97.24,97.24,97.24,97.24,0,0
2644.N,D,19990908,96.58,96.58,96.58,96.58,0,0
2644.N,D,19990909,96.87,96.87,96.87,96.87,0,0
2644.N,D,19990910,96.26,96.26,96.26,96.26,0,0
2644.N,D,19990913,94.76,94.76,94.76,94.76,0,0
2644.N,D,19990914,92.17,92.17,92.17,92.17,0,0
2644.N,D,19990915,90.92,90.92,90.92,90.92,0,0
2644.N,D,19990916,91.85,91.85,91.85,91.85,0,0
2644.N,D,19990917,91.75,91.75,91.75,91.75,0,0
2644.N,D,19990920,89.41,89.41,89.41,89.41,0,0
2644.N,D,19990921,88.06,88.06,88.06,88.06,0,0
2644.N,D,19990922,87.91,87.91,87.91,87.91,0,0
2644.N,D,19990923,86.11,86.11,86.11,86.11,0,0
2644.N,D,19990924,85.83,85.83,85.83,85.83,0,0
2644.N,D,19990927,85.93,85.93,85.93,85.93,0,0
2644.N,D,19990928,85.21,85.21,85.21,85.21,0,0
2644.N,D,19990929,84.88,84.88,84.88,84.88,0,0
2644.N,D,19990930,85.64,85.64,85.64,85.64,0,0
2644.N,D,19991001,85.64,85.64,85.64,85.64,0,0
2644.N,D,19991004,85.81,85.81,85.81,85.81,0,0
2644.N,D,19991005,87.01,87.01,87.01,87.01,0,0
2644.N,D,19991006,87.6,87.6,87.6,87.6,0,0
2644.N,D,19991007,88.6,88.6,88.6,88.6,0,0
2644.N,D,19991008,88.28,88.28,88.28,88.28,0,0
2644.N,D,19991011,88.27,88.27,88.27,88.27,0,0
2644.N,D,19991012,87.31,87.31,87.31,87.31,0,0
2644.N,D,19991013,86.09,86.09,86.09,86.09,0,0
2644.N,D,19991014,86.38,86.38,86.38,86.38,0,0
2644.N,D,19991015,86.34,86.34,86.34,86.34,0,0
2644.N,D,19991018,84.69,84.69,84.69,84.69,0,0
2644.N,D,19991019,85.26,85.26,85.26,85.26,0,0
2644.N,D,19991020,87.14,87.14,87.14,87.14,0,0
2644.N,D,19991021,88.77,88.77,88.77,88.77,0,0
2644.N,D,19991022,88.89,88.89,88.89,88.89,0,0
2644.N,D,19991025,89.04,89.04,89.04,89.04,0,0
2644.N,D,19991026,88.35,88.35,88.35,88.35,0,0
2644.N,D,19991027,87.92,87.92,87.92,87.92,0,0
2644.N,D,19991028,88.42,88.42,88.42,88.42,0,0
2644.N,D,19991029,89.73,89.73,89.73,89.73,0,0
